time,ECO2,TVOC
0.3243141174316406,405,0
11.283519983291626,407,1
26.257155179977417,402,0
41.929378032684326,448,7
49.70676612854004,405,0
56.253215074539185,400,0
68.31295013427734,0,0
75.24583005905151,400,0
82.87265515327454,420,3
90.55855011940002,400,0
97.24406599998474,400,0
103.60129618644714,400,0
111.32581901550293,410,1
119.70537114143372,415,2
126.69777798652649,566,25
136.17072820663452,400,0
143.99032711982727,405,0
155.19230008125305,403,0
163.32459998130798,400,0
170.19494605064392,405,0
178.32167315483093,400,0
185.18156719207764,400,0
192.84200716018677,402,0
201.3360071182251,402,0
209.27052116394043,400,0
223.69636702537537,411,1
230.88294410705566,400,0
242.29741406440735,408,1
252.8490161895752,408,1
263.73637199401855,410,1
270.9617831707001,400,0
282.6783649921417,400,0
289.3266251087189,400,0
305.4544520378113,420,3
312.1945412158966,400,0
321.84087920188904,407,1
332.662575006485,416,2
344.25974202156067,408,1
350.6250820159912,400,0
357.70155811309814,425,3
366.98442220687866,405,0
378.1768250465393,0,0
391.63458609580994,0,0
398.2687180042267,400,0
412.88527607917786,402,0
419.45625019073486,400,0
7.68530797958374,65021,65021
27.642759084701538,400,0
